date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:17	46187/46187	---M-Z	200	added ('OK')	text/html	etag:%22b46b-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/advancewebmarketing.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/advancewebmarketing.html	(from https://www.websitedesign.co.za/)
10:38:17	54765/54765	---M-Z	200	added ('OK')	text/html	etag:%22d5ed-5ec8d9121ab40-gzip%22	https://www.websitedesign.co.za/socialmediamanagement.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/socialmediamanagement.html	(from https://www.websitedesign.co.za/)
10:38:18	52648/52648	---M-Z	200	added ('OK')	text/html	etag:%22cda8-5ec8d91402fc0-gzip%22	https://www.websitedesign.co.za/training.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/training.html	(from https://www.websitedesign.co.za/)
10:38:18	44855/44855	---M-Z	200	added ('OK')	text/html	etag:%22af37-5ec8d90f3e480-gzip%22	https://www.websitedesign.co.za/plugins.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/plugins.html	(from https://www.websitedesign.co.za/)
10:38:18	51216/51216	---M-Z	200	added ('OK')	text/html	etag:%22c810-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/chatbotdevelopment.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/chatbotdevelopment.html	(from https://www.websitedesign.co.za/)
10:38:19	48778/48778	---M-Z	200	added ('OK')	text/html	etag:%22be8a-5ec8d90f3e480-gzip%22	https://www.websitedesign.co.za/mobileappdevelopment.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/mobileappdevelopment.html	(from https://www.websitedesign.co.za/)
10:38:19	48995/48995	---M-Z	200	added ('OK')	text/html	etag:%22bf63-5ec8d910326c0-gzip%22	https://www.websitedesign.co.za/qrcodes.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/qrcodes.html	(from https://www.websitedesign.co.za/)
10:38:19	39564/39564	---M-Z	200	added ('OK')	text/html	etag:%229a8c-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/contactus.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/contactus.html	(from https://www.websitedesign.co.za/)
10:38:20	57581/57581	---M-Z	200	added ('OK')	text/html	etag:%22e0ed-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/clientzone.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/clientzone.html	(from https://www.websitedesign.co.za/)
10:38:21	11973/11973	---M--	200	added ('OK')	image/png	etag:%222ec5-5ec8d918c7b00%22	https://www.websitedesign.co.za/images/website_design_shop.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/website_design_shop.png	(from https://www.websitedesign.co.za/)
10:38:21	339051/339051	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2010:38:23%20GMT	https://www.websitedesign.co.za/shop/	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/shop/index.html	(from https://www.websitedesign.co.za/)
10:38:22	82311/82311	---M--	200	added ('OK')	image/jpeg	etag:%2214187-5ec8d918c7b00%22	https://www.websitedesign.co.za/images/website_design.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/website_design.jpg	(from https://www.websitedesign.co.za/)
10:38:22	71000/71000	---M--	200	added ('OK')	image/png	etag:%2211558-5ec8d919bbd40%22	https://www.websitedesign.co.za/images/web_design.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/web_design.png	(from https://www.websitedesign.co.za/)
10:38:22	33497/33497	---M--	200	added ('OK')	image/jpeg	etag:%2282d9-5ec8d914f7200%22	https://www.websitedesign.co.za/images/best_website_design_company.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/best_website_design_company.jpg	(from https://www.websitedesign.co.za/)
10:38:23	130012/130012	---M--	200	added ('OK')	image/jpeg	etag:%221fbdc-5ec8d918c7b00%22	https://www.websitedesign.co.za/images/website_design_testimonials.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/website_design_testimonials.jpg	(from https://www.websitedesign.co.za/)
10:38:23	4917/4917	---M--	200	added ('OK')	image/png	etag:%221335-5ec8d918c7b00%22	https://www.websitedesign.co.za/images/website_design_logo_footer.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/website_design_logo_footer.png	(from https://www.websitedesign.co.za/)
10:38:23	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:%22176bb-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery-1.11.2.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery-1.11.2.min.js	(from https://www.websitedesign.co.za/)
10:38:23	3436/3436	---M-Z	200	added ('OK')	application/javascript	etag:%22d6c-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery.easing.1.3.js	(from https://www.websitedesign.co.za/)
10:38:24	13015/13015	---M-Z	200	added ('OK')	application/javascript	etag:%2232d7-5ec8d93c10e40-gzip%22	https://www.websitedesign.co.za/js/bootstrap.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/bootstrap.min.js	(from https://www.websitedesign.co.za/)
10:38:24	13798/13798	---M-Z	200	added ('OK')	application/javascript	etag:%2235e6-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/SmoothScroll.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/SmoothScroll.js	(from https://www.websitedesign.co.za/)
10:38:24	2439/2439	---M-Z	200	added ('OK')	application/javascript	etag:%22987-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery.scrollTo.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery.scrollTo.min.js	(from https://www.websitedesign.co.za/)
10:38:25	1476/1476	---M-Z	200	added ('OK')	application/javascript	etag:%225c4-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery.localScroll.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery.localScroll.min.js	(from https://www.websitedesign.co.za/)
10:38:25	1203/1203	---M-Z	200	added ('OK')	application/javascript	etag:%224b3-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery.viewport.mini.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery.viewport.mini.js	(from https://www.websitedesign.co.za/)
